cluster_id_1,cluster_id_2,distance_meters
1.0,33.0,348.7970127283733
1.0,34.0,667.3263461663818
1.0,35.0,353.5451488383535
1.0,36.0,282.27668202121197
1.0,37.0,486.69163693379215
1.0,38.0,810.396115022124
1.0,39.0,1795.6297964348162
1.0,40.0,627.0630905859542
1.0,41.0,440.46108745079687
1.0,42.0,171.1960755860252
1.0,43.0,770.9318047181482
1.0,44.0,176.43674324263688
1.0,45.0,157.5681749489625
1.0,46.0,2416.3590769583793
1.0,47.0,225.78724151590868
1.0,48.0,1168.721663769935
1.0,49.0,639.0457052184447
1.0,50.0,807.199541915321
1.0,51.0,1036.6239265210245
2.0,3.0,1516.7303007428152
2.0,4.0,886.5739710937714
2.0,5.0,1162.3691601855203
2.0,6.0,1310.0581995525115
2.0,7.0,1655.2959473759074
2.0,8.0,1284.2014452950036
2.0,9.0,421.0257811259158
2.0,10.0,489.22079049660294
2.0,11.0,720.9035440484562
2.0,12.0,471.4822031238866
2.0,13.0,393.6789075505273
2.0,14.0,279.8306045851565
2.0,15.0,1372.0081501502982
2.0,16.0,757.841393508606
2.0,17.0,548.9348901918656
2.0,18.0,1681.779721678937
2.0,19.0,1920.914131501477
2.0,20.0,723.906242025847
2.0,21.0,647.8695427963034
2.0,22.0,566.1630575005428
2.0,23.0,912.5475631411229
2.0,24.0,1002.9235601728326
2.0,25.0,836.5786905170058
2.0,26.0,805.483019381164
2.0,27.0,376.96846950784135
2.0,28.0,1569.4551025937221
2.0,29.0,2516.4145798488844
2.0,30.0,453.64844811852174
2.0,31.0,3038.5973230679406
2.0,32.0,3233.2453568965934
2.0,33.0,664.5647664603042
2.0,34.0,422.1097672317331
2.0,35.0,241.65004428279377
2.0,36.0,572.4103397995021
2.0,37.0,176.8235916119194
2.0,38.0,700.3969664835333
2.0,39.0,1849.122740661974
2.0,40.0,302.2002916398713
2.0,41.0,729.8049120980555
2.0,42.0,156.22169532686394
2.0,43.0,531.6877778050448
2.0,44.0,491.1369298037449
2.0,45.0,294.7905840622305
2.0,46.0,2547.302625282847
2.0,47.0,213.26704255358655
2.0,48.0,1224.211494368042
2.0,49.0,458.0385712996138
2.0,50.0,1016.9532477323551
2.0,51.0,1043.1308377979456
3.0,4.0,1292.089141321469
3.0,5.0,508.0219963489686
3.0,6.0,212.73769208938842
3.0,7.0,315.15747382666075
3.0,8.0,400.50734167448365
3.0,9.0,1617.438210049568
3.0,10.0,1033.7455183493444
3.0,11.0,858.3686112102633
3.0,12.0,1198.7085591667774
3.0,13.0,1754.5715601427196
3.0,14.0,1573.1500624027767
3.0,15.0,147.15155791471994
3.0,16.0,1053.955862551153
3.0,17.0,2013.547082812298
3.0,18.0,196.73732274903745
3.0,19.0,1082.457553429845
3.0,20.0,1483.1020750323248
3.0,21.0,870.1024040702652
3.0,22.0,1002.4992549619858
3.0,23.0,1050.0292584719418
3.0,24.0,551.0743390297366
3.0,25.0,1442.5547093820182
3.0,26.0,827.1114219605151
3.0,27.0,1580.5310619373909
3.0,28.0,96.06183372383038
3.0,29.0,1254.5923807680952
3.0,30.0,1081.6416615897974
3.0,31.0,1989.9286690177603
3.0,32.0,2136.8446494051327
3.0,33.0,1273.2939958959935
3.0,34.0,1355.8664076818052
3.0,35.0,1279.0554280093543
3.0,36.0,1566.0451623494778
3.0,37.0,1509.6725513771457
3.0,38.0,2197.804830945084
3.0,39.0,432.0166090906034
3.0,40.0,1673.131156318597
3.0,41.0,1643.721195989255
3.0,42.0,1479.5560274791833
3.0,43.0,2038.8303685852302
3.0,44.0,1319.8394796195682
3.0,45.0,1294.0086406816768
3.0,46.0,1036.459103544018
3.0,47.0,1321.9115343739702
3.0,48.0,330.8256142412869
3.0,49.0,1973.002099719132
3.0,50.0,713.7887502028597
3.0,51.0,561.9672319864255
4.0,5.0,785.0242217629776
4.0,6.0,1099.3213664414866
4.0,7.0,1564.6477830555518
4.0,8.0,905.0275549332215
4.0,9.0,612.464809218631
4.0,10.0,689.5144298549585
4.0,11.0,577.8108718805561
4.0,12.0,1065.989586989801
4.0,13.0,791.6695666898848
4.0,14.0,689.1124274178134
4.0,15.0,1193.742136393118
4.0,16.0,290.9793231589567
4.0,17.0,1063.1197478530455
4.0,18.0,1488.8125181540277
4.0,19.0,1167.9616357415769
4.0,20.0,267.817675427146
4.0,21.0,804.3032202202415
4.0,22.0,947.4906234110646
4.0,23.0,242.29647872323946
